gene essential
b0001 N
b0002 N
b0003 N
b0004 N
b0005 u
b0006 u
b0007 u
b0008 N
b0009 N
b0010 u
b0011 u
b0012 N
b0013 u
b0014 N
b0015 N
b0016 u
b4412 N
b0019 N
b0020 N
b0021 u
b0022 u
b0023 N
b0024 u
b0025 N
b0026 E
b0027 E
b0028 u
b0029 E
b0030 u
b0031 N
b0032 N
b0033 N
none u
b0034 N
b0035 N
b0036 N
b0037 N
b0038 N
b0039 N
b0040 N
b0041 N
b0042 N
b0043 N
b0044 N
b0045 N
b0046 N
b0047 N
b0048 N
b0049 N
b0050 N
b0051 N
b0052 N
b0053 N
b0054 E
b0055 N
b0056 u
b0057 u
b0058 N
b0059 N
b0060 N
b0061 N
b0062 N
b0063 N
b0064 N
b0065 N
b0066 N
b0067 N
b0068 N
b0069 N
b0070 N
b0071 N
b0072 N
b0073 N
b0074 N
b0075 N
b0076 N
b0077 N
b0078 N
b0080 N
b0081 u
b0082 u
b0083 E
b0084 E
b0085 E
b0086 E
b0087 E
b0088 E
b0089 E
b0090 E
b0091 E
b0092 N
b0093 E
b0094 E
b0095 E
b0096 E
b0097 u
b0098 E
b0099 N
b0101 N
b0102 u
b0103 E
b0104 N
b0106 u
b0107 u
b0108 N
b0109 N
b0110 N
b0111 N
b0112 N
b0113 N
b0114 N
b0115 N
b0116 N
b0117 u
b0118 N
b0119 u
b0120 N
b0121 N
b0122 u
b0123 u
b0124 N
b0125 N
b0126 E
b0127 N
b0128 N
b0129 N
b0130 u
b0131 N
b0132 u
b0133 N
b0134 N
b0135 u
b0136 u
b0137 u
b0138 u
b0139 N
b0140 N
b0141 u
b0142 N
b0143 N
b0144 u
b0145 N
b0146 N
b0147 u
b0148 N
b0149 N
b0150 N
b0151 N
b0152 N
b0153 N
b0154 N
b0155 u
b0156 u
b0157 u
b0158 u
b0159 N
b0160 N
b0161 N
b0162 u
b0163 u
b0164 u
b0166 N
b0167 N
b0168 E
b0169 E
b0170 u
b0171 E
b0172 E
b0173 E
b0174 E
b0175 E
b0176 E
b0177 u
none u
b0178 E
b0179 E
b0180 E
b0181 E
b0182 E
b0183 N
b0184 E
b0185 E
b0186 N
b0187 u
b0188 E
b0189 u
b4406 u
b0190 u
b0191 u
b0192 N
b0193 u
b0194 E
b0195 u
b0196 N
b0197 u
b0198 u
b0199 u
b0200 u
b0207 u
b0208 u
b0209 u
b0210 u
b0211 N
b0212 u
b0213 u
b0214 N
b0215 N
b0217 u
b0218 u
b4503 u
b0219 u
b0220 u
b0221 u
b0222 N
b0223 N
b0224 N
b0225 N
b0226 N
b0227 N
