,id.videoId,snippet.title,BATB,viewCount,likeCount,dislikeCount
0,Q0IFt9SsHk8,Best of Battle at The Berrics: Highlights - BATB1,1,28461,172,1
1,eGTsIL-xJB8,Mike Mo Capaldi Vs Furby: BATB1 - Round 1,1,55319,424,3
2,3lqNen-Qccw,Brandon Biebel Vs Nick McLouth: BATB1 - Round 1,1,15620,134,0
3,YX7Vr0QUedk,Marc Johnson Vs Johnny Layton: BATB1 - Round 2,1,11374,67,0
4,EwcnZDzs4BI,Benny Fairfax Vs PJ Ladd: BATB1 - Finals,1,25665,209,1
5,JeS0KhgBTPg,Mike Mo Capaldi Vs Billy Marks: BATB1 - Finals,1,26331,238,2
6,P-a7pyXL12M,Daniel Castillo Vs Andrew Reynolds: BATB1 - Round 1,1,17419,127,2
7,duSN0KHFK44,Arto Saari Vs Chico Brenes: BATB1 - Round 1,1,31859,196,2
8,mjuS0Mwt5pA,Billy Marks Vs Brandon Biebel: BATB1 - Round 2,1,11943,75,2
9,GeY9yQjN05c,Mike Carroll Vs Mike Mo Capaldi: BATB1 - Round 3,1,20360,121,2
10,lCwIIcbNUDc,Marc Johnson Vs Chris Roberts and The Legion of Doom: BATB1 - Round 1,1,47945,527,4
11,fwZ7sUXKSBo,Steve Berra Vs Chris Roberts: BATB1 - Round 1,1,62266,441,5
12,wGSotlk4uQc,Sean Malto Vs Donovan Strain: BATB1 - Round 1,1,85808,764,11
13,EmQyQ-RgtA8,Joey Brezinski Vs Chad Tim Tim: BATB1 - Round 1,1,17240,130,1
14,EG55_X4U8E8,PJ Ladd Vs Tyler Bledsoe: BATB1 - Round 1,1,14741,96,2
15,ptn2v4gs6YM,PJ Ladd Vs Eric Koston: BATB1 - Round 3,1,29017,171,2
16,QC1aI707y3E,Clint Peterson Vs Paul Shier: BATB1 - Round 1,1,13484,110,1
17,vDnyaU0eX-U,Benny Fairfax Vs Erik Ellington: BATB1 - Round 3,1,10594,78,2
18,T7hRpU2a8WQ,Jeron Wilson Vs Mike Carroll: BATB1 - Round 1,1,16712,94,2
19,MPnNijJ0cfA,Erik Ellington Vs Jimmy Cao: BATB1 - Round 2,1,8306,65,2
20,oD8FxxslG-Y,Paul Shier Vs Benny Fairfax: BATB1 - Round 2,1,6199,54,0
21,rVNZxVhcmDs,Mike Mo Capaldi Vs Benny Fairfax: BATB1 - Championship Battle,1,78483,539,4
22,nOCxC08-bZ0,Jimmy Cao Vs Bryan Herman: BATB1 - Round 1,1,26832,133,3
23,yG5fXcCwOlk,Joey Brezinski Vs Mike Carroll: BATB1 - Round 2,1,30607,297,7
24,POQaDcvhpTs,Billy Marks Vs Danny Supa: BATB1 - Round 1,1,15688,110,1
25,6UTl5_AG954,PJ Ladd Vs Andrew Reynolds: BATB1 - Round 2,1,45434,229,4
26,lWeiGaQQV2g,Eric Koston Vs Rob Dyrdek: BATB1 - Round 1,1,227924,1267,23
27,r8O11Pgw4FU,Billy Marks Vs Johnny Layton: BATB1 - Round 3,1,7383,57,2
28,yG35K0UE01k,Mikey Taylor Vs Benny Fairfax: BATB1 - Round 1,1,16930,114,0
29,WwjZzIuJLwo,Erik Ellington Vs Danny Montoya: BATB1 - Round 1,1,16123,87,3
30,gJCBEDIzRZg,Eric Koston Vs Donovan Strain: BATB1 - Round 2,1,28924,170,3
31,s3mzDwF2Za4,Chico Brenes Vs Mike Mo Capaldi: BATB1 - Round 2,1,8450,58,0
32,NfANQsgqKUo,Billy Marks Vs PJ Ladd: BATB1 - 3rd Place Battle,1,11286,99,0
0,Ukeoel-QILE,Best of Battle at The Berrics 2: Highlights - BATB2,2,11095,81,3
1,rsHhHfhd4D0,Paul Rodriguez Vs Kelly Hart: BATB2 - Round 1,2,9099,73,0
2,-iHxLBR--I4,Mark Appleyard Vs Ben Gore: BATB2 - Round 1,2,6036,39,0
3,rI0EMZrxhhk,Cory Kennedy Vs Paul Rodriguez: BATB2 - Finals,2,16369,98,1
4,8732zVk_FrE,Stefan Janoski Vs Peter Ramondetta: BATB2 - Round 1,2,14251,78,2
5,bt9STPA_kUg,Peter Ramondetta Vs Mark Appleyard: BATB2 - Round 2,2,5705,25,0
6,lYqbu0gpCvE,Nick Trapasso Vs Danny Garcia: BATB2 - Round 1,2,8425,47,1
7,Jiqn0p2AV8s,Torey Pudwill Vs Jimmy Carlin: BATB2 - Round 1,2,12225,97,1
8,8ux-NRb3658,Josiah Gatlyn Vs Cesar Fernandez: BATB2 - Round 2,2,4217,26,0
9,DaHVu_Z60fI,Cory Kennedy Vs Peter Ramondetta: BATB2 - Round 3,2,5191,43,0
10,yHHrrtd5kd8,Chris Haslam Vs David Gonzalez: BATB2 - Round 1,2,38538,213,0
11,Ahswb5RLa04,Cory Kennedy Vs Josh Kalis: BATB2 - Round 1,2,10883,60,0
12,TVlIU01BNHo,Torey Pudwill Vs Josiah Gatlyn: BATB2 - Round 3,2,9470,78,0
13,6pqxcyM2zbQ,Heath Kirchart Vs Chris Cole: BATB2 - Round 3,2,8786,48,2
14,yeQvAQvtWxY,Lucas Puig Vs Greg Lutzka: BATB2 - Round 1,2,11879,74,0
15,nT33lECC_3Q,Cairo Foster Vs Josiah Gatlyn: BATB2 - Round 1,2,6609,47,0
16,TdMXac9CGQY,Heath Kirchart Vs Rick Howard: BATB2 - Round 2,2,6853,31,1
17,40HS1pUewBA,Dennis Busenitz Vs Jamie Thomas: BATB2 - Round 1,2,18406,84,1
18,5qt2NHcshF4,Torey Pudwill Vs Chris Cole: BATB2 - Finals,2,9843,101,0
19,zzxe7pCFfds,Cory Kennedy Vs Greg Lutzka: BATB2 - Round 2,2,7558,52,1
20,eyU9JutcRqA,Corey Duffel Vs Rick Howard: BATB2 - Round 1,2,19832,99,2
21,R_Absdq34C4,Chris Cole Vs Mike Vallely: BATB2 - Round 1,2,142399,1491,14
22,YzsJp8u8ytU,Guy Mariano Vs Cesar Fernandez: BATB2 - Round 1,2,9495,61,3
23,w6jSqSm6oeg,Heath Kirchart Vs Lizard King: BATB2 - Round 1,2,28341,139,2
24,AnGwIs9MtxA,Paul Rodriguez Vs Gilbert Crockett: BATB2 - Round 2,2,6514,48,0
25,64ZCqWpx93w,Kenny Anderson Vs Jerry Hsu: BATB2 - Round 1,2,27669,145,1
26,I53qCjASwks,Chris Cole Vs Dennis Busenitz: BATB2 - Round 2,2,69434,728,5
27,8Kl1ApE8CL8,Torey Pudwill Vs Cory Kennedy: BATB2 - 3rd Place Battle,2,20145,166,2
28,vPrGlcgt_JA,Gilbert Crockett Vs Kerry Getz: BATB2 - Round 1,2,12540,77,3
29,t9nKpo16wjo,Chris Cole Vs Paul Rodriguez: BATB2 - Championship Battle,2,192804,1567,26
30,WUj47G6gvKs,David Gonzalez Vs Torey Pudwill: BATB2 - Round 2,2,10782,85,0
31,FTjADrgLwhk,Paul Rodriguez Vs Danny Garcia: BATB2 - Round 3,2,5295,44,0
0,ocffN3P0TEo,Shane O'neill Vs Eric Koston | BATB3 - Throwback,3,39083,1406,4
1,PJ-sVeV54Yg,Best of Battle at The Berrics 3: Highlights - BATB3,3,9949,88,0
2,GgykIk9WGnw,Torey Pudwill Vs Marc Johnson: BATB3 - Round 2,3,14745,82,0
3,qHS3Cp63mX4,PJ Ladd Vs Cory Kennedy: BATB3 - Round 3,3,16614,87,0
4,6DhC8xwwvH0,Cory Kennedy Vs Jimmy Cao: BATB3 - Round 1,3,12144,78,0
5,qqXuV8bxQ10,Billy Marks Vs David Gonzalez: BATB3 - Round 1,3,16856,77,0
6,D6aOOZuZJXM,Mike Mo Capaldi Vs Peter Ramondetta: BATB3 - Round 1,3,8532,75,1
7,xRZjULW7aqY,Chris Cole Vs Joey Brezinski: BATB3 - Round 1,3,26859,221,4
8,3b7Wjlm_37A,Shane O'neill Vs Chris Cole: BATB3 - Round 3,3,43475,255,2
9,uAolAZta1hw,Shane O'neill Vs Gilbert Crockett: BATB3 - Round 1,3,14771,84,1
10,M8E_LwaRZ6U,Marc Johnson Vs Rick Howard: BATB3 - Round 1,3,29071,135,1
11,YtHl_g78so8,PJ Ladd Vs Benny Fairfax: BATB3 - Round 2,3,4763,25,1
12,6FlWSZ65Yck,PJ Ladd Vs Josiah Gatlyn: BATB3 - Round 1,3,8579,34,2
13,G0VTowb6hbc,Steve Berra Vs Heath Kirchart: BATB3 - Round 1,3,28698,130,3
14,ZOWHSnnQNXg,Paul Rodriguez Vs David Gonzalez: BATB3 - Round 3,3,24088,107,1
15,MS7OIzKL0FU,Mike Mo Capaldi Vs Torey Pudwill: BATB3 - Round 3,3,18308,169,3
16,9Vs0XPMzTds,Paul Rodriguez Vs Torey Pudwill: BATB3 - Finals,3,25971,149,2
17,maNSV3k-Ocs,Paul Rodriguez Vs Chico Brenes: BATB3 - Round 2,3,7027,42,1
18,axLaH9zvkRI,Mike Mo Capaldi Vs Mark Appleyard: BATB3 - Round 2,3,6183,32,1
19,rZIX-NsYmlI,Paul Rodriguez Vs Sean Malto: BATB3 - Round 1,3,45487,284,4
20,onLCnz77BXY,Chico Brenes Vs Dennis Busenitz: BATB3 - Round 1,3,7275,29,1
21,WI1Sd5ikwOc,Paul Rodriguez Vs PJ Ladd: BATB3 - Championship  Battle,3,116883,969,8
22,e-Fj-HHQf-8,Torey Pudwill vs Marty Murawski: BATB3 - Round 1,3,8294,52,1
23,EcpQLA3kOSk,Brandon Biebel Vs Mark Appleyard: BATB3 - Round 1,3,17857,82,4
24,LEecyEQ0Bh8,Eric Koston Vs Shane O'neill: BATB3 - Round 2,3,18519,164,3
25,8r83UjKi-L0,Shane O'neill Vs PJ Ladd: BATB3 - Finals,3,105788,653,7
26,eBNKhbhzYSk,Benny Fairfax Vs Cesar Fernandez: BATB3 - Round 1,3,6156,27,0
27,tqT9PoePNDU,Cory Kennedy Vs Kelly Hart: BATB3 - Round 2,3,7545,40,0
28,edvoZ867xMw,Kelly Hart Vs Erik Ellington: BATB3 - Round 1,3,11049,46,3
