P-value,FCAbsolute,Regulation,GeneSymbol
0.02702854,2.0067427,up,ZNF594
0.012442673,2.644313,up,GRB10
0.0070619984,1.8817973,up,MTHFD2
0.044249944,3.4399707,up,ATF3
0.03166174,1.9554087,up,PMAIP1
0.039795224,1.7965584,up,COPZ2
0.03673334,1.5314373,up,IL13RA1
0.029924138,1.5320934,up,SNHG7
0.011322869,2.0074718,up,CCL5
0.018944085,1.7685622,up,PMEPA1
0.047956187,1.5793306,up,MMP9
0.012551716,1.8231251,up,JMY
0.030997334,2.0613153,up,ZNF167
0.035031736,1.6004084,up,LBH
0.020841368,1.7661935,up,HNRNPH3
0.042612087,1.5461029,up,RBM39
0.00050678715,1.7832876,up,MDFIC
0.04113105,1.5135553,up,ZFAND1
0.00072318444,7.938948,up,H1F0
0.03263038,2.0748007,up,MAN1C1
0.031848475,1.7551751,up,RRAS2
0.0010558879,1.5750601,up,YTHDC2
0.033541296,2.0369775,up,C5orf28
0.047005855,1.530219,up,SLTM
0.04984602,1.5840994,up,SYNE2
0.040941842,1.5856196,up,RSL24D1
0.001577008,1.5977741,up,RAP1B
0.037625205,1.5209451,up,PANK3
0.030074444,1.6408477,up,PTPN12
0.02908674,1.6719297,up,MIER3
0.016291229,1.6048664,up,
0.049162026,1.8339232,up,CBX4
0.036337804,1.5935192,up,NFKBID
0.002459728,2.188602,up,FOXP4
0.035576493,1.8564883,up,ZMAT1
0.01667876,1.7224731,up,NCAM1
0.02040432,1.5658665,up,XIAP
0.013917654,1.50484,up,PCF11
0.016851544,6.7728977,up,PSAT1
0.030573033,5.1734447,up,GRB10
0.03516714,1.6762644,up,DENND5A
0.026046049,5.044751,up,CRNDE
0.04224531,1.9062855,up,PNPLA2
0.024914164,2.0376618,up,EGR2
0.027925171,1.9246509,up,
0.041793026,1.848479,up,LOC646762
0.02246212,2.2921653,up,GPR109B
0.029153831,2.8093033,up,C6orf48
0.021264812,1.7216712,up,LOC100132891
0.046225827,2.4656184,up,RAB39B
0.01201041,1.6538213,up,C13orf23
0.01328819,1.6954118,up,SLMO2
0.042607065,1.5394832,up,PNRC1
0.035641786,1.8023626,up,ATP8B2
0.004745779,1.6775414,up,SLC4A5
0.020916773,1.5249267,up,CTSO
0.049845826,1.5232205,up,
0.04133055,1.6405516,up,ARSD
0.04773244,1.5085021,up,FLJ26332
0.04806636,2.2971601,up,BHLHE41
0.03511929,1.7895913,up,ABCG1
0.022280922,3.552448,up,AARS
0.04733249,1.6283885,up,ZNF204
0.014228312,1.531817,up,ATP8A1
0.0034136542,1.7468858,up,LILRB2
0.01903474,1.8100703,up,C4orf32
0.016536517,1.5173721,up,TIGD2
0.042366736,1.6948986,up,SMG5
0.03904039,1.6306021,up,EIF5
0.031192565,1.6288886,up,PPP1R15B
0.045154333,1.502228,up,PCNP
0.040211644,5.047805,up,PHGDH
0.0030518717,1.8687065,up,ZNF280B
0.018582327,2.5827098,up,SESN2
0.019560533,1.6565906,up,CCDC91
0.04874802,1.5049255,up,LOC100132369
0.000015543035,2.0077398,up,RGS16
0.0127252275,1.7084606,up,FLJ41481
0.02315765,1.5485024,up,ZCCHC8
0.014707816,1.5033967,up,
0.00244966,12.334886,up,CBS
0.04378945,1.6646012,up,PCDHB9
0.020110197,1.7999283,up,PRO0628
0.019514821,1.8584319,up,
0.04842296,1.7899362,up,ANKH
0.011270986,1.5088208,up,B3GALT2
0.040418874,1.7642891,up,TGIF1
0.001351678,1.5357093,up,CYLD
0.0074058203,1.6462691,up,OPTN
0.0014529712,1.6969591,up,RPS6KA3
0.046241295,2.0468297,up,NAMPT
0.027625034,1.6193796,up,APBA1
0.0035844827,1.970381,up,IARS
0.027242579,1.7862171,up,TARS
0.0067448867,3.0030344,up,C17orf51
0.0034216805,1.8527589,up,GPRASP1
0.01652043,1.583554,up,BBS10
0.040094666,2.034166,up,ABCA3
0.011597085,1.5331501,up,IRF9
0.023281945,1.5055405,up,AGRN
0.049763624,1.5881015,up,HDAC4
0.01426408,1.8409741,up,THNSL1
0.045744147,1.6565435,up,AKTIP
0.025479833,2.9073837,up,DDIT3
0.048811633,1.7324003,up,LYPLAL1
0.022985913,1.5481678,up,GPBP1L1
0.038939856,1.6178935,up,CREBBP
0.016470283,8.766445,up,ULBP1
0.03530946,1.5319769,up,RFNG
0.015450292,1.5452977,up,ADCY9
0.046918705,1.5083057,up,SGTB
0.049923692,1.7408229,up,ZNF681
0.035936426,1.9615556,up,TSC22D1
0.02882058,1.7137706,up,PCGF5
0.049410462,2.1608572,up,TUBE1
0.022645112,9.18609,up,SLC7A11
0.010312288,2.1480525,down,ACAT2
0.011550052,1.7390217,down,EGFL7
0.031066345,1.5654261,down,CKAP2L
0.020595793,1.6865767,down,HLA-DOB
0.018061396,1.9746565,down,DHCR7
0.026158698,1.9569514,down,PIR
0.03257745,1.6677771,down,SHPK
0.0008350002,1.7788913,down,MCFD2
0.027192093,1.6206851,down,AICDA
0.020711465,2.025089,down,ZBTB32
0.018212205,1.9480985,down,
0.035528697,2.4629753,down,SLC37A2
0.047614094,1.5887272,down,MARCO
0.016751237,1.752431,down,PVRL1
0.04258922,2.9751704,down,RETN
0.0022132318,1.68246,down,RASGRP2
0.001688582,1.6077663,down,LOC148709
0.02278797,1.6254154,down,C3orf35
0.034052882,1.6750327,down,INCA1
0.021747036,1.5597023,down,CEL
0.029822296,1.614463,down,MRPL22
0.0360705,1.77209,down,CDC25C
0.021751126,1.7982694,down,WWOX
0.028779445,1.7079519,down,MYO19
0.028899143,1.702818,down,MRPS15
0.012029236,2.2300732,down,PTTG2
0.039957188,1.776143,down,NAPSA
0.0011203602,1.5108014,down,EIF4E2
0.04932726,1.5817912,down,hCG_2036596
0.04864096,1.5010825,down,ABCB6
0.010074974,1.5613089,down,
0.043607153,1.5705812,down,VAMP8
0.0019156433,2.7885306,down,CTHRC1
0.03600954,1.5086668,down,ME3
0.038719155,1.90895,down,FHL2
