"Hugo_Symbol"	"mut_count"	"missense_mut_count"
"13"	"A1CF"	2	2
"14"	"A2BP1"	3	3
"15"	"A2M"	3	2
"16"	"A2ML1"	4	4
"17"	"A4GALT"	1	0
"18"	"AAAS"	2	2
"19"	"AACS"	1	1
"20"	"AADAC"	3	2
"21"	"AADACL2"	2	1
"22"	"AADACL4"	1	1
"23"	"AAK1"	2	1
"24"	"AARS"	4	4
"25"	"AARS2"	3	3
"26"	"AASDH"	1	0
"27"	"AASDHPPT"	2	2
"28"	"AASS"	3	2
"29"	"AATK"	1	1
"30"	"ABAT"	3	3
"31"	"ABCA1"	6	3
"32"	"ABCA10"	3	3
"33"	"ABCA12"	5	5
"34"	"ABCA13"	14	12
"35"	"ABCA17P"	1	0
"36"	"ABCA3"	4	4
"37"	"ABCA4"	6	6
"38"	"ABCA5"	4	4
"39"	"ABCA6"	3	3
"40"	"ABCA7"	5	5
"41"	"ABCA8"	5	4
"42"	"ABCA9"	4	4
"43"	"ABCB1"	3	3
"44"	"ABCB10"	2	2
"45"	"ABCB11"	7	4
"46"	"ABCB4"	1	1
"47"	"ABCB5"	2	2
"48"	"ABCB6"	1	0
"49"	"ABCB7"	2	2
"50"	"ABCB8"	2	2
"51"	"ABCB9"	1	1
"52"	"ABCC1"	3	3
"53"	"ABCC10"	3	3
"54"	"ABCC11"	2	1
"55"	"ABCC12"	5	5
"56"	"ABCC2"	4	4
"57"	"ABCC3"	1	1
"58"	"ABCC4"	4	4
"59"	"ABCC5"	2	2
"60"	"ABCC6"	2	2
"61"	"ABCC8"	7	7
"62"	"ABCC9"	5	3
"63"	"ABCD1"	2	1
"64"	"ABCD2"	2	1
"65"	"ABCD3"	2	2
"66"	"ABCF1"	2	2
"67"	"ABCF2"	3	2
"68"	"ABCF3"	1	1
"69"	"ABCG1"	2	2
"70"	"ABCG5"	2	2
"71"	"ABHD12"	1	1
"72"	"ABHD15"	1	1
"73"	"ABHD2"	2	2
"74"	"ABHD4"	1	1
"75"	"ABHD6"	2	1
"76"	"ABHD8"	1	1
"77"	"ABI1"	2	2
"78"	"ABI3"	1	1
"79"	"ABI3BP"	2	0
"80"	"ABL1"	4	2
"81"	"ABL2"	2	2
"82"	"ABLIM1"	1	1
"83"	"ABLIM3"	2	2
"84"	"ABO"	4	4
"85"	"ABP1"	1	1
"86"	"ABR"	3	3
"87"	"ABRA"	1	1
"88"	"ABT1"	1	1
"89"	"ABTB2"	1	1
"90"	"ACAA1"	2	0
"91"	"ACAA2"	1	1
"92"	"ACACA"	3	2
"93"	"ACACB"	8	8
"94"	"ACAD10"	4	4
"95"	"ACAD11"	3	3
"96"	"ACAD9"	1	1
"97"	"ACADSB"	3	3
"98"	"ACADVL"	2	2
"99"	"ACAN"	2	2
"100"	"ACAP2"	1	0
"101"	"ACAP3"	1	1
"102"	"ACAT1"	1	1
"103"	"ACBD5"	2	1
"104"	"ACCN2"	1	1
"105"	"ACCN3"	2	2
"106"	"ACCN4"	1	1
"107"	"ACCN5"	1	1
"108"	"ACCS"	1	1
"109"	"ACE"	4	2
"110"	"ACE2"	1	0
"111"	"ACER2"	1	1
"112"	"ACER3"	3	3
"113"	"ACHE"	2	2
"114"	"ACLY"	4	3
"115"	"ACO1"	1	1
"116"	"ACO2"	3	3
"117"	"ACOT1"	1	1
"118"	"ACOT11"	2	2
"119"	"ACOT4"	1	1
"120"	"ACOT8"	1	1
"121"	"ACOX1"	2	2
"122"	"ACOX3"	2	2
"123"	"ACOXL"	3	2
"124"	"ACP5"	2	2
"125"	"ACP6"	1	1
"126"	"ACPP"	2	2
"127"	"ACPT"	2	2
"128"	"ACRBP"	2	0
"129"	"ACRC"	1	1
"130"	"ACSBG1"	1	0
"131"	"ACSBG2"	2	2
"132"	"ACSF2"	1	0
