"Hugo_Symbol"	"mut_count"	"missense_mut_count"
"1"	"A1CF"	1	1
"2"	"A2M"	1	1
"3"	"A2ML1"	3	2
"4"	"AACS"	2	2
"5"	"AADACL4"	1	1
"6"	"AAMP"	1	0
"7"	"AARS"	1	1
"8"	"AARS2"	2	2
"9"	"AASDH"	4	3
"10"	"AASDHPPT"	1	1
"11"	"AASS"	2	2
"12"	"AATF"	2	2
"13"	"AATK"	1	0
"14"	"ABCA1"	4	3
"15"	"ABCA10"	2	2
"16"	"ABCA11P"	1	0
"17"	"ABCA12"	7	6
"18"	"ABCA13"	5	4
"19"	"ABCA3"	4	4
"20"	"ABCA4"	4	4
"21"	"ABCA5"	2	2
"22"	"ABCA6"	3	3
"23"	"ABCA7"	1	1
"24"	"ABCA8"	2	2
"25"	"ABCA9"	4	4
"26"	"ABCB1"	3	2
"27"	"ABCB11"	3	2
"28"	"ABCB4"	3	3
"29"	"ABCB5"	2	2
"30"	"ABCB6"	1	1
"31"	"ABCB7"	2	2
"32"	"ABCB8"	2	2
"33"	"ABCB9"	1	1
"34"	"ABCC1"	3	3
"35"	"ABCC10"	4	3
"36"	"ABCC11"	1	0
"37"	"ABCC12"	2	2
"38"	"ABCC2"	1	1
"39"	"ABCC4"	1	1
"40"	"ABCC5"	2	2
"41"	"ABCC6"	1	1
"42"	"ABCC6P1"	1	0
"43"	"ABCC8"	1	1
"44"	"ABCC9"	2	2
"45"	"ABCD2"	2	2
"46"	"ABCF1"	3	2
"47"	"ABCF2"	1	0
"48"	"ABCF3"	2	1
"49"	"ABCG1"	2	2
"50"	"ABCG4"	2	2
"51"	"ABHD13"	1	1
"52"	"ABHD2"	2	2
"53"	"ABHD6"	2	2
"54"	"ABI3BP"	2	2
"55"	"ABL1"	1	1
"56"	"ABL2"	1	1
"57"	"ABLIM1"	1	1
"58"	"ABLIM3"	1	1
"59"	"ABO"	1	0
"60"	"ABP1"	2	2
"61"	"ABR"	2	1
"62"	"ABRA"	2	2
"63"	"ACAA2"	1	1
"64"	"ACACB"	5	5
"65"	"ACAD10"	2	2
"66"	"ACAD11"	3	3
"67"	"ACAD8"	1	1
"68"	"ACAD9"	2	1
"69"	"ACADM"	1	1
"70"	"ACADSB"	2	2
"71"	"ACADVL"	2	1
"72"	"ACAN"	1	1
"73"	"ACAP2"	1	1
"74"	"ACAT1"	2	2
"75"	"ACAT2"	1	1
"76"	"ACBD4"	1	0
"77"	"ACCN1"	3	2
"78"	"ACCN2"	1	1
"79"	"ACCN3"	1	1
"80"	"ACCN4"	2	1
"81"	"ACCN5"	2	2
"82"	"ACCS"	1	1
"83"	"ACCSL"	3	3
"84"	"ACD"	1	1
"85"	"ACE"	3	3
"86"	"ACE2"	2	2
"87"	"ACIN1"	2	2
"88"	"ACLY"	3	3
"89"	"ACN9"	1	1
"90"	"ACO1"	2	1
"91"	"ACO2"	1	1
"92"	"ACOT11"	1	0
"93"	"ACOT12"	2	1
"94"	"ACOT9"	2	2
"95"	"ACOX1"	2	1
"96"	"ACP2"	1	1
"97"	"ACP6"	2	1
"98"	"ACPP"	2	1
"99"	"ACRC"	4	4
"100"	"ACSL1"	2	1
"101"	"ACSL3"	2	2
"102"	"ACSL4"	1	1
"103"	"ACSL6"	1	1
"104"	"ACSM2B"	1	1
"105"	"ACSM4"	1	1
"106"	"ACSM5"	3	3
"107"	"ACSS1"	1	1
"108"	"ACTBL2"	2	2
"109"	"ACTC1"	1	1
"110"	"ACTG1"	2	2
"111"	"ACTL6A"	1	1
"112"	"ACTL6B"	1	0
"113"	"ACTL8"	3	2
"114"	"ACTN2"	3	3
"115"	"ACTN3"	2	1
"116"	"ACTR1A"	1	1
"117"	"ACTR1B"	1	0
"118"	"ACTR3B"	1	1
"119"	"ACTR6"	2	2
"120"	"ACTR8"	1	1
"121"	"ACTRT1"	2	2
"122"	"ACTRT2"	1	1
"123"	"ACVR1"	2	2
"124"	"ACVR1B"	1	0
"125"	"ACVR1C"	2	2
"126"	"ACVR2B"	1	1
"127"	"ACY1"	1	0
"128"	"ADA"	1	1
"129"	"ADAD2"	1	1
"130"	"ADAM10"	1	1
"131"	"ADAM12"	1	1
"132"	"ADAM15"	1	1
"133"	"ADAM19"	3	3
"134"	"ADAM2"	2	1
"135"	"ADAM22"	2	2
"136"	"ADAM23"	1	1
"137"	"ADAM29"	3	3
"138"	"ADAM30"	2	2
"139"	"ADAM33"	1	1
"140"	"ADAM8"	1	0
"141"	"ADAM9"	1	1
"142"	"ADAMTS1"	2	2
"143"	"ADAMTS12"	2	2
"144"	"ADAMTS13"	2	2
"145"	"ADAMTS14"	7	7
"146"	"ADAMTS16"	6	5
"147"	"ADAMTS17"	2	2
"148"	"ADAMTS18"	1	0
"149"	"ADAMTS19"	4	4
"150"	"ADAMTS2"	1	1
"151"	"ADAMTS20"	6	5
"152"	"ADAMTS3"	1	1
"153"	"ADAMTS4"	4	4
"154"	"ADAMTS6"	1	1
"155"	"ADAMTS7"	1	1
"156"	"ADAMTS8"	1	1
"157"	"ADAMTS9"	1	1
"158"	"ADAMTSL1"	5	5
"159"	"ADAMTSL2"	1	0
"160"	"ADAMTSL3"	5	5
"161"	"ADAMTSL4"	2	2
"162"	"ADAP2"	1	1
"163"	"ADAR"	4	4
"164"	"ADAT1"	1	1
"165"	"ADC"	2	2
"166"	"ADCK1"	1	1
"167"	"ADCY1"	4	4
"168"	"ADCY10"	2	2
"169"	"ADCY2"	6	6
"170"	"ADCY3"	2	1
"171"	"ADCY4"	1	1
"172"	"ADCY5"	3	3
"173"	"ADCY7"	1	0
"174"	"ADCY9"	4	4
"175"	"ADCYAP1R1"	1	0
"176"	"ADD2"	2	1
"177"	"ADD3"	2	2
"178"	"ADH1B"	1	1
"179"	"ADH1C"	1	1
"180"	"ADH5"	1	0
"181"	"ADH6"	1	0
"182"	"ADHFE1"	1	1
"183"	"ADI1"	1	1
"184"	"ADIPOQ"	1	1
"185"	"ADK"	1	0
"186"	"ADNP"	1	1
"187"	"ADNP2"	3	3
"188"	"ADORA2B"	2	2
"189"	"ADORA3"	2	2
"190"	"ADPRH"	1	1
"191"	"ADRA1A"	1	1
"192"	"ADRA2B"	3	3
"193"	"ADRB2"	1	0
"194"	"ADRBK2"	2	2
"195"	"ADSL"	1	1
"196"	"ADSSL1"	2	2
"197"	"AFAP1L2"	1	1
"198"	"AFF2"	3	3
"199"	"AFF3"	2	2
"200"	"AFF4"	2	2
"201"	"AFM"	2	2
"202"	"AFTPH"	2	2
"203"	"AGAP1"	2	2
"204"	"AGAP3"	1	0
"205"	"AGAP4"	1	1
"206"	"AGAP7"	1	1
"207"	"AGAP8"	1	1
"208"	"AGBL1"	2	2
"209"	"AGBL2"	2	2
"210"	"AGBL4"	1	1
"211"	"AGBL5"	3	3
"212"	"AGFG1"	1	1
"213"	"AGFG2"	1	0
"214"	"AGGF1"	1	1
"215"	"AGK"	1	1
"216"	"AGL"	1	1
"217"	"AGPAT3"	1	1
"218"	"AGPAT4"	1	1
"219"	"AGPS"	1	0
"220"	"AGTPBP1"	2	2
"221"	"AGTR2"	2	2
"222"	"AGXT"	1	1
"223"	"AGXT2"	2	2
"224"	"AGXT2L1"	1	1
"225"	"AHCTF1"	5	5
"226"	"AHCYL1"	1	1
"227"	"AHCYL2"	2	1
"228"	"AHI1"	1	1
"229"	"AHNAK"	12	12
"230"	"AHNAK2"	11	8
"231"	"AHR"	1	1
"232"	"AICDA"	1	1
"233"	"AIF1"	1	1
"234"	"AIFM1"	2	2
"235"	"AIFM3"	2	2
"236"	"AIG1"	1	1
"237"	"AIM1"	5	4
"238"	"AIM2"	2	2
"239"	"AJAP1"	1	1
"240"	"AK2"	1	1
"241"	"AK3"	2	2
"242"	"AK7"	1	1
"243"	"AKAP1"	1	1
"244"	"AKAP10"	1	0
"245"	"AKAP12"	1	0
"246"	"AKAP13"	1	1
"247"	"AKAP3"	1	1
"248"	"AKAP4"	1	1
"249"	"AKAP6"	4	4
"250"	"AKAP8"	2	2
"251"	"AKAP8L"	1	1
"252"	"AKAP9"	5	3
"253"	"AKD1"	1	1
"254"	"AKNA"	4	4
"255"	"AKNAD1"	2	1
"256"	"AKR1B1"	2	2
"257"	"AKR1B15"	1	1
"258"	"AKR1C1"	2	2
"259"	"AKR1C4"	1	1
"260"	"AKR7A2P1"	1	0
"261"	"AKR7A3"	1	1
"262"	"ALAS1"	1	1
"263"	"ALB"	2	2
"264"	"ALCAM"	1	1
"265"	"ALDH1A1"	1	1
"266"	"ALDH1L1"	3	2
"267"	"ALDH2"	1	0
"268"	"ALDH3A1"	1	1
"269"	"ALDH3A2"	2	2
"270"	"ALDH6A1"	1	1
"271"	"ALDH7A1"	1	1
"272"	"ALDH8A1"	2	2
"273"	"ALDOC"	1	1
"274"	"ALG1"	1	1
"275"	"ALG10B"	4	4
"276"	"ALG11"	2	2
"277"	"ALG2"	2	1
"278"	"ALG8"	2	2
"279"	"ALG9"	1	0
"280"	"ALK"	3	3
"281"	"ALKBH1"	1	1
"282"	"ALKBH5"	1	1
"283"	"ALKBH8"	1	1
"284"	"ALLC"	2	2
"285"	"ALMS1"	1	0
"286"	"ALMS1P"	1	1
"287"	"ALOX12"	1	0
"288"	"ALOX15"	1	1
"289"	"ALOX15B"	1	1
"290"	"ALOX5"	1	1
"291"	"ALOX5AP"	1	1
"292"	"ALOXE3"	1	1
"293"	"ALPK1"	2	2
"294"	"ALPK2"	3	3
"295"	"ALPK3"	2	2
"296"	"ALPL"	2	2
"297"	"ALPP"	2	2
"298"	"ALS2CR11"	1	1
"299"	"ALS2CR12"	2	2
"300"	"ALX1"	1	0
"301"	"AMBN"	3	3
"302"	"AMBRA1"	1	1
"303"	"AMHR2"	1	1
"304"	"AMICA1"	1	1
"305"	"AMMECR1"	1	1
"306"	"AMOT"	2	2
"307"	"AMOTL1"	1	1
"308"	"AMOTL2"	2	2
"309"	"AMPD1"	2	2
"310"	"AMPD2"	2	2
"311"	"AMPD3"	1	1
"312"	"AMPH"	2	1
"313"	"AMY2A"	1	1
"314"	"ANAPC16"	1	1
"315"	"ANAPC2"	1	1
"316"	"ANAPC4"	1	1
"317"	"ANAPC5"	1	1
"318"	"ANG"	1	1
"319"	"ANGEL1"	2	1
"320"	"ANGPT1"	3	1
"321"	"ANGPT4"	2	2
"322"	"ANGPTL4"	2	2
"323"	"ANGPTL5"	1	1
"324"	"ANK1"	3	3
"325"	"ANK2"	8	7
"326"	"ANK3"	6	6
"327"	"ANKAR"	2	2
"328"	"ANKFN1"	1	1
"329"	"ANKFY1"	1	1
"330"	"ANKHD1-EIF4EBP3"	4	3
"331"	"ANKMY1"	1	1
"332"	"ANKRD11"	4	4
"333"	"ANKRD12"	2	2
"334"	"ANKRD13B"	1	1
"335"	"ANKRD13D"	1	1
"336"	"ANKRD17"	4	4
"337"	"ANKRD2"	1	1
"338"	"ANKRD20A2"	1	1
"339"	"ANKRD23"	1	1
"340"	"ANKRD24"	1	0
"341"	"ANKRD26"	1	1
"342"	"ANKRD27"	3	3
"343"	"ANKRD29"	2	2
"344"	"ANKRD30A"	5	5
"345"	"ANKRD30B"	1	0
"346"	"ANKRD32"	2	2
"347"	"ANKRD35"	4	4
"348"	"ANKRD36"	2	0
"349"	"ANKRD44"	3	3
"350"	"ANKRD5"	2	2
"351"	"ANKRD52"	2	2
"352"	"ANKRD55"	1	1
"353"	"ANKRD57"	2	2
"354"	"ANKRD6"	3	3
"355"	"ANKRD7"	2	1
"356"	"ANKS1A"	3	1
"357"	"ANKS4B"	2	2
"358"	"ANKS6"	2	2
"359"	"ANKZF1"	2	2
"360"	"ANLN"	2	2
"361"	"ANO1"	1	1
"362"	"ANO10"	2	2
"363"	"ANO2"	3	2
"364"	"ANO3"	1	1
"365"	"ANO4"	4	4
"366"	"ANO6"	2	2
"367"	"ANO8"	3	3
"368"	"ANO9"	1	1
"369"	"ANP32C"	2	2
"370"	"ANP32D"	1	0
"371"	"ANPEP"	2	2
"372"	"ANTXR1"	2	2
"373"	"ANTXR2"	1	1
"374"	"ANXA11"	1	1
"375"	"ANXA13"	1	1
"376"	"ANXA2"	2	1
"377"	"ANXA5"	1	1
"378"	"ANXA6"	1	1
"379"	"ANXA7"	1	1
"380"	"AOC2"	4	1
"381"	"AOC3"	1	1
"382"	"AOX1"	4	4
"383"	"AP1B1"	1	1
"384"	"AP1G1"	2	2
"385"	"AP1G2"	1	1
"386"	"AP1M1"	3	2
"387"	"AP1M2"	2	2
"388"	"AP2A1"	2	2
"389"	"AP2A2"	2	2
"390"	"AP2B1"	3	3
"391"	"AP3B2"	4	3
"392"	"AP3S1"	1	0
"393"	"AP3S2"	1	1
"394"	"AP4B1"	2	2
"395"	"APAF1"	2	2
"396"	"APBB2"	1	0
"397"	"APBB3"	1	1
"398"	"APC"	8	7
"399"	"APCDD1L"	1	1
"400"	"APEH"	1	0
"401"	"APEX1"	2	1
"402"	"APH1A"	1	1
"403"	"API5"	1	1
"404"	"APLF"	2	2
"405"	"APLP1"	1	1
"406"	"APLP2"	2	2
"407"	"APOB"	12	11
"408"	"APOBEC3A"	1	1
"409"	"APOBEC3B"	1	1
"410"	"APOD"	2	2
"411"	"APOL3"	1	1
"412"	"APOLD1"	1	1
"413"	"APTX"	2	1
