name	descr	pvalue	qvalue
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	6.42e-21	5.778e-17
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.07e-20	9.315e-17
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	5.43e-19	1.629e-15
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	6.1e-16	1.3725e-12
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	1.03e-13	1.854e-10
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	4.46e-12	5.0175e-09
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%5389840	4.46e-12	5.0175e-09
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	4.46e-12	5.0175e-09
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	1.19e-11	1.125e-08
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	1.25e-11	1.125e-08
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	2.1e-11	1.6575e-08
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	2.21e-11	1.6575e-08
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	7.61e-11	4.89214285714286e-08
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	7.61e-11	4.89214285714286e-08
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	TRANSLATIONAL TERMINATION%GOBP%GO:0006415	1.01e-10	6.06e-08
CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358	CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358	3.01e-10	1.693125e-07
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	3.22e-10	1.70470588235294e-07
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	TRANSLATIONAL ELONGATION%GOBP%GO:0006414	3.41e-10	1.705e-07
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	5.11e-10	2.42052631578947e-07
