Prey,UniProt,HEKScore,JurkatScore
THRAP3,Q9Y2W1,0.807,0.319
SEPSECS,Q9HD40,0.814,0.2
IVNS1ABP,Q9Y6Y0,0.753,0.26
DDX49,Q9Y6V7,0.824,0
PRMT1,Q99873,0.758,0.037
OLA1,Q9NTK5,0.777,0
EIF2AK2,P19525,0.766,0
RBM17,Q96I25,0.765,0
EPRS,P07814,0.929,0.819
OLA1,Q9NTK5,0.911,0.819
SEPSECS,Q9HD40,0.862,0.831
EEF1E1,O43324,0.907,0.764
DARS,P14868,0.911,0.753
RARS,P54136,0.922,0.737
AIMP1,Q12904,0.919,0.74
HARS2,P49590,0.856,0.774
MARS,P56192,0.908,0.723
KARS,Q15046,0.883,0.731
LARS,Q9P2J5,0.835,0.773
QARS,P47897,0.919,0.685
TARS,P26639,0.869,0.717
IARS,P41252,0.907,0.668
NARS2,Q96I59,0.866,0.631
AIMP2,Q13155,0.915,0.506
SDCBP,O00560,0.833,0
NOLC1,Q14978,0.809,0
SDCCAG8,Q86SQ7,0.781,0
PRMT1,Q99873,0.776,0.164
RNH1,P13489,0.87,0
THUMPD1,Q9NXG2,0.822,0
LRRC47,Q8N1G4,0.814,0
CSDE1,O75534,0.812,0
STRAP,Q9Y3F4,0.788,0
PPP1R12A,O14974,0.785,0
CTNNA3,Q9UI47,0.781,0
YTHDF3,Q7Z739,0.781,0
NOL12,Q9UGY1,0.781,0
NHP2L1,P55769,0.775,0
MRPL11,Q9Y3B7,0.771,0
EIF3F,O00303,0.894,0.871
EIF3D,O15371,0.939,0.81
EIF3C,Q99613,0.883,0.856
EIF3A,Q14152,0.888,0.84
EIF3L,Q9Y262,0.883,0.832
EIF3K,Q9UBQ5,0.823,0.848
UBR4,Q5T4S7,0.841,0.831
OSBPL3,Q9H4L5,0.826,0.843
EIF3H,O15372,0.801,0.868
EIF3E,P60228,0.793,0.845
EIF3B,P55884,0.822,0.735
RUVBL1,Q9Y265,0.7,0.829
PDIA4,P13667,0.864,0.661
NFU1,Q9UMS0,0.775,0.733
SUCLA2,Q9P2R7,0.69,0.794
PDIA6,Q15084,0.408,0.82
MCM7,P33993,0.412,0.75
PELO,Q9BRX2,0.316,0.832
RCN1,Q15293,0.773,0.302
KIAA1967,Q8N163,0.152,0.874
TYSND1,Q2T9J0,0,0.923
EIF3I,Q13347,0.904,0
FECH,P22830,0,0.848
RECQL,P46063,0.846,0
LGALS3BP,Q08380,0.843,0
LIMD1,Q9UGP4,0.836,0
EIF3G,O75821,0.83,0
CTSB,P07858,0,0.825
RRM2,P31350,0,0.824
PSIP1,O75475,0,0.825
MCM4,P33991,0,0.818
GRB2,P62993,0,0.818
PPP2CB,P62714,0.803,0
MCM6,Q14566,0,0.804
ANAPC2,Q9UJX6,0,0.799
NUDC,Q9Y266,0,0.788
IDH3A,P50213,0,0.773
ARRB2,P32121,0,0.762
OSBPL3,Q9H4L5,0.877,0.893
LIMD1,Q9UGP4,0.938,0.804
SSSCA1,O60232,0.92,0.806
GOLGA1,Q92805,0.912,0.786
EIF3K,Q9UBQ5,0.791,0.875
POLE3,Q9NRF9,0.806,0.847
POLE,Q07864,0.839,0.794
EIF3E,P60228,0.763,0.854
EIF3D,O15371,0.849,0.752
EIF3A,Q14152,0.755,0.816
EIF3C,Q99613,0.771,0.793
FAM203A,Q9BTY7,0.723,0.839
SF3A3,Q12874,0.723,0.839
HERC2,O95714,0.828,0.725
KIAA1967,Q8N163,0.768,0.786
