GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	195	147	5.778e-17
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	193	145	9.315e-17
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	223	160	1.629e-15
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	239	163	1.3725e-12
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	215	145	1.854e-10
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	86	68	5.0175e-09
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%5389840	86	68	5.0175e-09
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	86	68	5.0175e-09
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	87	68	1.125e-08
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	92	71	1.125e-08
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	125	90	1.6575e-08
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	86	67	1.6575e-08
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	63	52	4.89214285714286e-08
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	63	52	4.89214285714286e-08
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	91	69	6.06e-08
CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358	206	132	1.693125e-07
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	193	125	1.70470588235294e-07
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	101	74	1.705e-07
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	105	76	2.42052631578947e-07
NABA_MATRISOME_ASSOCIATED%MSIGDB_C2%NABA_MATRISOME_ASSOCIATED	475	267	3.3075e-07
VASCULATURE DEVELOPMENT%GOBP%GO:0001944	203	129	4.54285714285714e-07
