GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	195	147	6.42e-21
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	193	145	2.07e-20
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	223	160	5.43e-19
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	239	163	6.1e-16
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	215	145	1.03e-13
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	86	68	4.46e-12
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%5389840	86	68	4.46e-12
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	86	68	4.46e-12
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	87	68	1.19e-11
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	92	71	1.25e-11
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	125	90	2.1e-11
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	86	67	2.21e-11
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	63	52	7.61e-11
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	63	52	7.61e-11
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	91	69	1.01e-10
CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358	206	132	3.01e-10
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	193	125	3.22e-10
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	101	74	3.41e-10
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	105	76	5.11e-10
NABA_MATRISOME_ASSOCIATED%MSIGDB_C2%NABA_MATRISOME_ASSOCIATED	475	267	7.35e-10
VASCULATURE DEVELOPMENT%GOBP%GO:0001944	203	129	1.06e-09
LEUKOCYTE MIGRATION%GOBP%GO:0050900	207	131	1.17e-09
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	170	110	4.01e-09
NABA_ECM_REGULATORS%MSIGDB_C2%NABA_ECM_REGULATORS	157	103	4.1e-09
