,viewCount,name,viewAvg,n_issues,n_videos,issues
0,16712.0,Jeron Wilson,16712.0,1.0,1.0,1
1,70884.0,Bobby Worrest,70884.0,1.0,1.0,9
2,54611.0,Chico Brenes,13652.0,2.0,4.0,"1, 3"
3,381601.0,Michael Sommer,95400.0,1.0,4.0,9
4,2310004.0,Will Fyock,385000.0,3.0,6.0,"7, 8, X"
5,74706.0,Joey Brezinski,24902.0,2.0,3.0,"1, 3"
6,46072.0,Erik Ellington,11518.0,2.0,4.0,"1, 3"
7,14251.0,Stefan Janoski,14251.0,1.0,1.0,2
8,188162.0,Bobby De Keyzer,188162.0,1.0,1.0,9
9,62424.0,Ryan Pearce,31212.0,1.0,2.0,5
10,98770.0,Dan Plunkett,98770.0,1.0,1.0,9
11,47945.0,Chris Roberts and The Legion of Doom,47945.0,1.0,1.0,1
12,19868.0,Cesar Fernandez,6622.0,2.0,3.0,"2, 3"
13,705026.0,Sean Malto,176256.0,4.0,4.0,"1, 3, 5, 8"
14,663381.0,Cyril Jackson,331690.0,1.0,2.0,8
15,4441504.0,PJ Ladd,143274.0,8.0,31.0,"1, 3, 4, 5, 6, 7, 8, X"
16,2285885.0,Morgan Smith,163277.0,6.0,14.0,"4, 5, 6, 7, 8, X"
17,55716.0,Matt Miller,27858.0,2.0,2.0,"5, 6"
18,757142.0,Tanner Lawler,757142.0,1.0,1.0,7
19,4210657.0,Eric Koston,233925.0,6.0,18.0,"1, 3, 4, 6, 7, 8"
20,322701.0,Carlos Ribeiro,161350.0,2.0,2.0,"6, 8"
21,27693.0,Kelly Hart,9231.0,2.0,3.0,"2, 3"
22,63619.0,Jereme Rogers,63619.0,1.0,1.0,6
23,51492.0,Ryan Decenzo,51492.0,1.0,1.0,5
24,17014.0,Danny Cerezini,17014.0,1.0,1.0,4
25,160551.0,Shaun Rodriguez,160551.0,1.0,1.0,8
26,11024.0,Tommy Sandoval,11024.0,1.0,1.0,4
27,63171.0,Kevin Romar,63171.0,1.0,1.0,5
28,187896.0,Blake Carpenter,93948.0,1.0,2.0,9
29,14741.0,Tyler Bledsoe,14741.0,1.0,1.0,1
30,187429.0,Moses Adams,187429.0,1.0,1.0,7
31,233328.0,Cory Kennedy,17948.0,5.0,13.0,"2, 3, 4, 5, 6"
32,2495573.0,Nyjah Huston,415928.0,3.0,6.0,"5, 6, 7"
33,178577.0,Davis Torgerson,25511.0,3.0,7.0,"4, 5, 6"
34,17240.0,Chad Tim Tim,17240.0,1.0,1.0,1
35,17419.0,Daniel Castillo,17419.0,1.0,1.0,1
36,42420.0,Tommy Fynn,21210.0,1.0,2.0,5
37,87079.0,Alec Majerus,87079.0,1.0,1.0,9
38,41785.0,Brad Cromer,41785.0,1.0,1.0,6
39,27669.0,Kenny Anderson,27669.0,1.0,1.0,2
40,18953.0,Willow,18953.0,1.0,1.0,4
41,90776.0,Dashawn Jordan,90776.0,1.0,1.0,9
42,23239.0,Sebo Walker,23239.0,1.0,1.0,5
43,332249.0,Cristian Vannella,332249.0,1.0,1.0,7
44,33825.0,Gilbert Crockett,11275.0,2.0,3.0,"2, 3"
45,571381.0,Spencer Brown,285690.0,2.0,2.0,"7, 8"
46,47282.0,Jimmy Cao,15760.0,2.0,3.0,"1, 3"
47,27669.0,Jerry Hsu,27669.0,1.0,1.0,2
